Country,CL_DistrictRes,Date,incid
Sierra Leone,KAMBIA,2014-12-11,2
Sierra Leone,KAMBIA,2014-12-12,3
Sierra Leone,KAMBIA,2014-12-13,0
Sierra Leone,KAMBIA,2014-12-14,0
Sierra Leone,KAMBIA,2014-12-15,7
Sierra Leone,KAMBIA,2014-12-16,2
Sierra Leone,KAMBIA,2014-12-17,1
Sierra Leone,KAMBIA,2014-12-18,2
Sierra Leone,KAMBIA,2014-12-19,0
Sierra Leone,KAMBIA,2014-12-20,5
Sierra Leone,KAMBIA,2014-12-21,4
Sierra Leone,KAMBIA,2014-12-22,1
Sierra Leone,KAMBIA,2014-12-23,4
Sierra Leone,KAMBIA,2014-12-24,0
Sierra Leone,KAMBIA,2014-12-25,3
Sierra Leone,KAMBIA,2014-12-26,3
Sierra Leone,KAMBIA,2014-12-27,1
Sierra Leone,KAMBIA,2014-12-28,0
Sierra Leone,KAMBIA,2014-12-29,1
Sierra Leone,KAMBIA,2014-12-30,3
Sierra Leone,KAMBIA,2014-12-31,1
Sierra Leone,KAMBIA,2015-01-01,2
Sierra Leone,KAMBIA,2015-01-02,5
Sierra Leone,KAMBIA,2015-01-03,5
Sierra Leone,KAMBIA,2015-01-04,5
Sierra Leone,KAMBIA,2015-01-05,11
Sierra Leone,KAMBIA,2015-01-06,4
Sierra Leone,KAMBIA,2015-01-07,9
Sierra Leone,KAMBIA,2015-01-08,1
Sierra Leone,KAMBIA,2015-01-09,1
Sierra Leone,KAMBIA,2015-01-10,4
Sierra Leone,KAMBIA,2015-01-11,2
Sierra Leone,KAMBIA,2015-01-12,1
Sierra Leone,KAMBIA,2015-01-13,1
Sierra Leone,KAMBIA,2015-01-14,0
Sierra Leone,KAMBIA,2015-01-15,5
Sierra Leone,KAMBIA,2015-01-16,3
Sierra Leone,KAMBIA,2015-01-17,2
Sierra Leone,KAMBIA,2015-01-18,1
Sierra Leone,KAMBIA,2015-01-19,0
Sierra Leone,KAMBIA,2015-01-20,4
Sierra Leone,KAMBIA,2015-01-21,6
Sierra Leone,KAMBIA,2015-01-22,2
Sierra Leone,KAMBIA,2015-01-23,3
Sierra Leone,KAMBIA,2015-01-24,0
Sierra Leone,KAMBIA,2015-01-25,2
Sierra Leone,KAMBIA,2015-01-26,2
Sierra Leone,KAMBIA,2015-01-27,2
Sierra Leone,KAMBIA,2015-01-28,2
Sierra Leone,KAMBIA,2015-01-29,2
Sierra Leone,KAMBIA,2015-01-30,1
Sierra Leone,KAMBIA,2015-01-31,3
Sierra Leone,KAMBIA,2015-02-01,9
Sierra Leone,KAMBIA,2015-02-02,2
Sierra Leone,KAMBIA,2015-02-03,4
Sierra Leone,KAMBIA,2015-02-04,2
Sierra Leone,KAMBIA,2015-02-05,1
Sierra Leone,KAMBIA,2015-02-06,3
Sierra Leone,KAMBIA,2015-02-07,7
Sierra Leone,KAMBIA,2015-02-08,2
Sierra Leone,KAMBIA,2015-02-09,1
Sierra Leone,KAMBIA,2015-02-10,6
Sierra Leone,KAMBIA,2015-02-11,2
Sierra Leone,KAMBIA,2015-02-12,3
Sierra Leone,KAMBIA,2015-02-13,6
Sierra Leone,KAMBIA,2015-02-14,0
Sierra Leone,KAMBIA,2015-02-15,3
Sierra Leone,KAMBIA,2015-02-16,1
Sierra Leone,KAMBIA,2015-02-17,6
Sierra Leone,KAMBIA,2015-02-18,3
Sierra Leone,KAMBIA,2015-02-19,1
Sierra Leone,KAMBIA,2015-02-20,1
Sierra Leone,KAMBIA,2015-02-21,2
Sierra Leone,KAMBIA,2015-02-22,2
Sierra Leone,KAMBIA,2015-02-23,0
Sierra Leone,KAMBIA,2015-02-24,3
Sierra Leone,KAMBIA,2015-02-25,1
Sierra Leone,KAMBIA,2015-02-26,0
Sierra Leone,KAMBIA,2015-02-27,0
Sierra Leone,KAMBIA,2015-02-28,1
Sierra Leone,KAMBIA,2015-03-01,1
Sierra Leone,KAMBIA,2015-03-02,2
Sierra Leone,KAMBIA,2015-03-03,1
Sierra Leone,KAMBIA,2015-03-04,1
Sierra Leone,KAMBIA,2015-03-05,2
Sierra Leone,KAMBIA,2015-03-06,1
Sierra Leone,KAMBIA,2015-03-07,0
Sierra Leone,KAMBIA,2015-03-08,0
Sierra Leone,KAMBIA,2015-03-09,1
Sierra Leone,KAMBIA,2015-03-10,3
Sierra Leone,KAMBIA,2015-03-11,0
Sierra Leone,KAMBIA,2015-03-12,1
Sierra Leone,KAMBIA,2015-03-13,2
Sierra Leone,KAMBIA,2015-03-14,0
Sierra Leone,KAMBIA,2015-03-15,8
Sierra Leone,KAMBIA,2015-03-16,0
Sierra Leone,KAMBIA,2015-03-17,0
Sierra Leone,KAMBIA,2015-03-18,2
Sierra Leone,KAMBIA,2015-03-19,3
Sierra Leone,KAMBIA,2015-03-20,3
Sierra Leone,KAMBIA,2015-03-21,2
Sierra Leone,KAMBIA,2015-03-22,1
Sierra Leone,KAMBIA,2015-03-23,0
Sierra Leone,KAMBIA,2015-03-24,0
Sierra Leone,KAMBIA,2015-03-25,1
Sierra Leone,KAMBIA,2015-03-26,0
Sierra Leone,KAMBIA,2015-03-27,1
Sierra Leone,KAMBIA,2015-03-28,3
Sierra Leone,KAMBIA,2015-03-29,5
Sierra Leone,KAMBIA,2015-03-30,1
Sierra Leone,KAMBIA,2015-03-31,1
Sierra Leone,KAMBIA,2015-04-01,6
Sierra Leone,KAMBIA,2015-04-02,1
Sierra Leone,KAMBIA,2015-04-03,4
Sierra Leone,KAMBIA,2015-04-04,4
Sierra Leone,KAMBIA,2015-04-05,1
Sierra Leone,KAMBIA,2015-04-06,0
Sierra Leone,KAMBIA,2015-04-07,2
Sierra Leone,KAMBIA,2015-04-08,2
Sierra Leone,KAMBIA,2015-04-09,5
Sierra Leone,KAMBIA,2015-04-10,2
Sierra Leone,KAMBIA,2015-04-11,0
Sierra Leone,KAMBIA,2015-04-12,1
Sierra Leone,KAMBIA,2015-04-13,2
Sierra Leone,KAMBIA,2015-04-14,2
Sierra Leone,KAMBIA,2015-04-15,1
Sierra Leone,KAMBIA,2015-04-16,5
Sierra Leone,KAMBIA,2015-04-17,6
Sierra Leone,KAMBIA,2015-04-18,2
Sierra Leone,KAMBIA,2015-04-19,1
Sierra Leone,KAMBIA,2015-04-20,4
Sierra Leone,KAMBIA,2015-04-21,0
Sierra Leone,KAMBIA,2015-04-22,1
Sierra Leone,KAMBIA,2015-04-23,2
Sierra Leone,KAMBIA,2015-04-24,2
Sierra Leone,KAMBIA,2015-04-25,0
Sierra Leone,KAMBIA,2015-04-26,1
Sierra Leone,KAMBIA,2015-04-27,0
Sierra Leone,KAMBIA,2015-04-28,1
Sierra Leone,KAMBIA,2015-04-29,1
Sierra Leone,KAMBIA,2015-04-30,0
Sierra Leone,KAMBIA,2015-05-01,0
Sierra Leone,KAMBIA,2015-05-02,2
Sierra Leone,KAMBIA,2015-05-03,3
Sierra Leone,KAMBIA,2015-05-04,5
Sierra Leone,KAMBIA,2015-05-05,2
Sierra Leone,KAMBIA,2015-05-06,0
Sierra Leone,KAMBIA,2015-05-07,1
Sierra Leone,KAMBIA,2015-05-08,0
Sierra Leone,KAMBIA,2015-05-09,0
Sierra Leone,KAMBIA,2015-05-10,1
Sierra Leone,KAMBIA,2015-05-11,1
Sierra Leone,KAMBIA,2015-05-12,0
Sierra Leone,KAMBIA,2015-05-13,0
Sierra Leone,KAMBIA,2015-05-14,0
Sierra Leone,KAMBIA,2015-05-15,1
Sierra Leone,KAMBIA,2015-05-16,0
Sierra Leone,KAMBIA,2015-05-17,1
Sierra Leone,KAMBIA,2015-05-18,2
Sierra Leone,KAMBIA,2015-05-19,0
Sierra Leone,KAMBIA,2015-05-20,0
Sierra Leone,KAMBIA,2015-05-21,1
Sierra Leone,KAMBIA,2015-05-22,2
Sierra Leone,KAMBIA,2015-05-23,0
Sierra Leone,KAMBIA,2015-05-24,2
Sierra Leone,KAMBIA,2015-05-25,0
Sierra Leone,KAMBIA,2015-05-26,2
Sierra Leone,KAMBIA,2015-05-27,1
Sierra Leone,KAMBIA,2015-05-28,1
Sierra Leone,KAMBIA,2015-05-29,2
Sierra Leone,KAMBIA,2015-05-30,1
Sierra Leone,KAMBIA,2015-05-31,0
Sierra Leone,KAMBIA,2015-06-01,3
Sierra Leone,KAMBIA,2015-06-02,2
Sierra Leone,KAMBIA,2015-06-03,10
Sierra Leone,KAMBIA,2015-06-04,0
Sierra Leone,KAMBIA,2015-06-05,3
Sierra Leone,KAMBIA,2015-06-06,11
Sierra Leone,KAMBIA,2015-06-07,4
Sierra Leone,KAMBIA,2015-06-08,0
Sierra Leone,KAMBIA,2015-06-09,1
Sierra Leone,KAMBIA,2015-06-10,1
Sierra Leone,KAMBIA,2015-06-11,2
Sierra Leone,KAMBIA,2015-06-12,2
Sierra Leone,KAMBIA,2015-06-13,0
Sierra Leone,KAMBIA,2015-06-14,1
Sierra Leone,KAMBIA,2015-06-15,0
Sierra Leone,KAMBIA,2015-06-16,0
Sierra Leone,KAMBIA,2015-06-17,1
Sierra Leone,KAMBIA,2015-06-18,0
Sierra Leone,KAMBIA,2015-06-19,2
Sierra Leone,KAMBIA,2015-06-20,1
Sierra Leone,KAMBIA,2015-06-21,1
Sierra Leone,KAMBIA,2015-06-22,0
Sierra Leone,KAMBIA,2015-06-23,1
Sierra Leone,KAMBIA,2015-06-24,3
Sierra Leone,KAMBIA,2015-06-25,0
Sierra Leone,KAMBIA,2015-06-26,2
Sierra Leone,KAMBIA,2015-06-27,6
Sierra Leone,KAMBIA,2015-06-28,0
Sierra Leone,KAMBIA,2015-06-29,2
Sierra Leone,KAMBIA,2015-06-30,2
Sierra Leone,KAMBIA,2015-07-01,0
Sierra Leone,KAMBIA,2015-07-02,1
Sierra Leone,KAMBIA,2015-07-03,1
Sierra Leone,KAMBIA,2015-07-04,0
Sierra Leone,KAMBIA,2015-07-05,2
Sierra Leone,KAMBIA,2015-07-06,2
Sierra Leone,KAMBIA,2015-07-07,2
Sierra Leone,KAMBIA,2015-07-08,1
Sierra Leone,KAMBIA,2015-07-09,0
Sierra Leone,KAMBIA,2015-07-10,0
Sierra Leone,KAMBIA,2015-07-11,1
Sierra Leone,KAMBIA,2015-07-12,2
Sierra Leone,KAMBIA,2015-07-13,4
Sierra Leone,KAMBIA,2015-07-14,5
Sierra Leone,KAMBIA,2015-07-15,1
