NodeName,City,StateCode,CountryCode,Lon,Lat
FGI,Apia,NULL,WS,-171.73,-13.83
FGU,"Fangatau, Tuamoto Island",NULL,PF,-141.83,-16.05
FHZ,Fakahina,NULL,PF,-140.16,-15.99
FIE,Fair Isle,SC,GB,-1.67,59.5
FIH,Kinshasa,NULL,CD,15.45,-4.39
FJR,Al-Fujairah,NULL,AE,56.33,25.11
FKB,Karlsruhe/Baden Baden,NULL,DE,8.09,48.78
FKI,Kisangani,NULL,CD,25.2,0.52
FKL,Franklin,PA,US,-79.86,41.38
FKQ,Fak Fak,NULL,ID,132.3,-2.92
FKS,Fukushima,NULL,JP,140.43,37.23
FLA,Florencia,NULL,CO,-75.56,1.59
FLG,Grand Canyon,AZ,US,-111.67,35.14
FLL,Fort Lauderdale,FL,US,-80.14,26.07
FLN,Florianopolis,SC,BR,-48.55,-27.66
FLO,Florence,SC,US,-79.72,34.19
FLR,Florence,NULL,IT,11.2,43.8
FLS,Flinders Island,TAS,AU,148,-40.09
FLW,Flores Island (Azores),NULL,PT,-31.15,39.47
FMA,Formosa,FO,AR,-58.23,-26.21
FMM,Memmingen,NULL,DE,10.24,47.99
FMN,Farmington,NM,US,-108.23,36.74
FMO,Muenster,NULL,DE,7.69,52.13
FNA,Freetown,NULL,SL,-13.2,8.62
FNC,Funchal,NULL,PT,-16.78,32.69
FNI,Nimes,NULL,FR,4.42,43.75
FNJ,Pyongyang,NULL,KP,125.67,39.2
FNL,Fort Collins/Loveland,CO,US,-105.08,40.58
FNT,Flint,MI,US,-83.74,42.97
FOA,Foula,SI,GB,-2.08,60.17
FOC,Fuzhou,NULL,CN,119.67,25.93
FOD,Fort Dodge,IA,US,-94.19,42.55
FOG,Foggia,NULL,IT,15.54,41.43
FON,Fortuna,NULL,CR,-84.48,10.4
FOR,Fortaleza,CE,BR,-38.54,-3.78
FPO,Freeport,NULL,BS,-78.71,26.55
FRA,Frankfurt,NULL,DE,8.57,50.05
FRD,Friday Harbor,WA,US,-123.03,48.52
FRE,Fera Island,NULL,SB,159.58,-8.1
FRL,Forli,NULL,IT,12.07,44.2
FRO,Floro,NULL,NO,5.02,61.59
FRS,Flores,NULL,GT,-89.88,16.92
FRU,Bishkek,NULL,KG,74.47,43.05
FRW,Francistown,NULL,BW,27.48,-21.16
FSC,Figari,NULL,FR,9.1,41.5
FSD,Sioux Falls,SD,US,-96.73,43.58
FSM,Fort Smith,AR,US,-94.36,35.34
FSP,Saint Pierre,NULL,PM,-56.17,46.92
FSZ,Shizuoka,NULL,JP,138.19,34.8
FTA,Futuna Island,NULL,VU,170.25,-19.42
FTE,El Calafate,SC,AR,-72.05,-50.28
FTU,Fort Dauphin,NULL,MG,46.96,-25.04
FUE,Puerto del Rosario,CI,ES,-13.87,28.45
FUG,Fuyang,NULL,CN,115.7,32.87
FUJ,Fukue,NULL,JP,128.84,32.67
FUK,Fukuoka,NULL,JP,130.44,33.58
FUN,Funafuti Atol,NULL,TV,179.21,-8.52
FUO,Fuoshan,NULL,CN,113.28,23.13
FUT,Futuna Island,NULL,WF,-178.15,-14.25
FWA,Fort Wayne,IN,US,-85.19,40.99
FYU,Fort Yukon,AK,US,-145.25,66.57
FZO,Filton,SC,GB,-2.58,51.52
GAE,Gabes,NULL,TN,10.03,33.88
