Location,Country,Region/City,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,Cumulative SC,Cumulative SD,Cumulative CC,Cumulative CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,,Ebola,Humans,,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,17/04/14 17:08,No Tag,,,,,197,122,101,56,,ProMED Mail,WHO Regional Office for Africa,
Liberia,Liberia,,Ebola,Humans,,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,17/04/14 17:08,No Tag,1,,,,27,13,,,,ProMED Mail,WHO Regional Office for Africa,
Sierra Leone,Sierra Leone,,Ebola,Humans,,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,17/04/14 17:08,No Tag,,,12,,,,,,,ProMED Mail,WHO Regional Office for Africa,
Guinea,Guinea,,Ebola,Humans,,2414770,PRO/AH> Ebola virus disease - West Africa (21): ECDC travel advice,http://promedmail.org/direct.php?id=20140419.2414770,19/04/14 03:17,No Tag,,,,,,,,,,ProMED Mail,ECDC,
Guinea,Guinea,,Ebola,Humans,,2416170,"PRO/AH/EDR> Ebola virus disease - West Africa (22): WHO, control",http://promedmail.org/direct.php?id=20140419.2416170,19/04/14 23:36,No Tag,,,,,203,129,109,61,,ProMED Mail,WHO Global Alert and Response,
Cote d'Ivoire,Cote d'Ivoire,,Ebola,Humans,,2419488,"PRO/AH> Ebola virus disease - West Africa (23): Cote d'Ivoire, bushmeat ban",http://promedmail.org/direct.php?id=20140421.2419488,21/04/14 20:58,No Tag,,,,,,,,,,ProMED Mail,,
Liberia,Liberia,,Ebola,Humans,,2421188,"PRO/AH/EDR> Ebola virus disease - West Africa (24): Liberia, Zambia airport screening",http://promedmail.org/direct.php?id=20140422.2421188,22/04/14 18:27,No Tag,,,,,27,13,6,,,ProMED Mail,UN Office for the Coordination of Humanitarian Affairs,
Zambia,Zambia,,Ebola,Humans,,2421188,"PRO/AH/EDR> Ebola virus disease - West Africa (24): Liberia, Zambia airport screening",http://promedmail.org/direct.php?id=20140422.2421188,22/04/14 18:27,No Tag,,,,,,,,,,ProMED Mail,Zambia Daily Mail,
Guinea,Guinea,,Ebola,Humans,,2424015,"PRO/AH/EDR> Ebola virus disease - West Africa (25): WHO, MSF",http://promedmail.org/direct.php?id=20140423.2424015,23/04/14 20:40,No Tag,,,,,208,136,169,112,,ProMED Mail,WHO Regional Office for Africa,
Liberia,Liberia,,Ebola,Humans,,2424015,"PRO/AH/EDR> Ebola virus disease - West Africa (25): WHO, MSF",http://promedmail.org/direct.php?id=20140423.2424015,23/04/14 20:40,No Tag,,,1,,34,6,6,,,ProMED Mail,WHO Regional Office for Africa,
Guinea,Guinea,,Ebola,Humans,,2427963,"PRO/AH/EDR> Ebola virus disease - West Africa (26): WHO, MSF",http://promedmail.org/direct.php?id=20140424.2427963,24/04/14 22:28,No Tag,,,,,,,,,,ProMED Mail,WHO Features,
Guinea,Guinea,,Ebola,Humans,,2430639,PRO/AH/EDR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140425.2430639,25/04/14 21:33,No Tag,,,,,218,141,115,72,,ProMED Mail,WHO Regional Office for Africa,
Liberia,Liberia,,Ebola,Humans,,2430639,PRO/AH/EDR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140425.2430639,25/04/14 21:33,No Tag,,,1,,35,6,6,,,ProMED Mail,WHO Regional Office for Africa,
Guinea,Guinea,,Ebola,Humans,,2432190,PRO/AH/EDR> Ebola virus disease - West Africa (28): CIDRAP,http://promedmail.org/direct.php?id=20140427.2432190,27/04/14 13:07,No Tag,,5,3,,218,141,115,,,ProMED Mail,CIDRAP News Scan,
Guinea,Guinea,,Ebola,Humans,,2435643,PRO/AH/EDR> Ebola virus disease - West Africa (29): corrs. Guinea,http://promedmail.org/direct.php?id=20140428.2435643,28/04/14 17:16,No Tag,,,,,,,115,72,,ProMED Mail,GuineeConakry.info,
Guinea,Guinea,,Ebola,Humans,,2436009,PRO/AH/EDR> Ebola virus disease - West Africa (30): Guinea,http://promedmail.org/direct.php?id=20140428.2436009,28/04/14 23:08,No Tag,,,,,224,143,121,74,,ProMED Mail,WHO/AFRO,
Guinea,Guinea,,Ebola,Humans,,2441776,"PRO/AH/EDR> Ebola virus disease - West Africa (31): Guinea, region",http://promedmail.org/direct.php?id=20140430.2441776,30/04/14 22:32,No Tag,,,,,,,,,,ProMED Mail,,
Guinea,Guinea,,Ebola,Humans,,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,02/05/14 22:33,No Tag,2,6,,,226,149,127,81,,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,Guekedou,Ebola,Humans,,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,02/05/14 22:33,No Tag,,,,,140,99,,,,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,Conakry,Ebola,Humans,,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,02/05/14 22:33,No Tag,,,,,53,24,,,,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,226,149,127,81,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Conakry,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,53,24,40,20,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Guekedou,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,140,99,72,49,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Macenta,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,22,16,13,10,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Kissidougou,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,6,5,1,1,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Dabola,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,4,4,1,1,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Djingaraye,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,1,1,,,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Liberia,Liberia,,Ebola,Humans,,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,03/05/14 22:52,No Tag,,,,,13,11,6,,,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOHSW Liberia
Guinea,Guinea,,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,231,155,127,82,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Conakry,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,53,24,40,20,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Guekedou,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,5,6,,,145,105,72,50,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Macenta,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,22,16,13,10,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Kissidougou,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,6,5,1,1,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Dabola,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,4,4,1,1,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,Djingaraye,Ebola,Humans,,2451959,PRO/AH/EDR> Ebola virus disease - West Africa (34): WHO,http://promedmail.org/direct.php?id=20140505.2451959,05/05/14 21:24,No Tag,,,,,1,1,,,,ProMED Mail,WHO/AFRO [edited],MOH Guinea
Guinea,Guinea,,Ebola,Humans,,2462239,"PRO/AH/EDR> Ebola virus disease - West Africa (35): WHO, MSF, Senegal preparedness",http://promedmail.org/direct.php?id=20140509.2462239,09/05/14 20:40,No Tag,,,,,235,157,127,83,,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",MOH Guinea
